
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:        0
1.23219 2.02605 0.00000 
1.24122 2.03808 0.00000 
1.24242 2.03967 0.00000 
1.24970 2.05010 0.00000 
1.25814 2.06212 0.00000 
1.26663 2.07415 0.00000 
1.27516 2.08617 0.00000 
1.28375 2.09820 0.00000 
1.29238 2.11022 0.00000 
1.30107 2.12224 0.00000 
1.30303 2.12495 0.00000 
1.30929 2.13427 0.00000 
1.31742 2.14629 0.00000 
1.32559 2.15832 0.00000 
1.33381 2.17034 0.00000 
1.34207 2.18236 0.00000 
1.35038 2.19439 0.00000 
1.35873 2.20641 0.00000 
1.36364 2.21343 0.00000 
1.36688 2.21844 0.00000 
1.37471 2.23046 0.00000 
1.38258 2.24248 0.00000 
1.39050 2.25451 0.00000 
1.39846 2.26653 0.00000 
1.40646 2.27856 0.00000 
1.41450 2.29058 0.00000 
1.42259 2.30261 0.00000 
1.42424 2.30505 0.00000 
1.43026 2.31463 0.00000 
1.43786 2.32665 0.00000 
1.44549 2.33868 0.00000 
1.45317 2.35070 0.00000 
1.46088 2.36273 0.00000 
1.46863 2.37475 0.00000 
1.47642 2.38677 0.00000 
1.48425 2.39880 0.00000 
1.48485 2.39971 0.00000 
1.49163 2.41082 0.00000 
1.49899 2.42285 0.00000 
1.50640 2.43487 0.00000 
1.51384 2.44689 0.00000 
1.52132 2.45892 0.00000 
1.52883 2.47094 0.00000 
1.53638 2.48297 0.00000 
1.54397 2.49499 0.00000 
1.54545 2.49733 0.00000 
1.55119 2.50701 0.00000 
1.55834 2.51904 0.00000 
1.56553 2.53106 0.00000 
1.57275 2.54309 0.00000 
1.58000 2.55511 0.00000 
1.58729 2.56713 0.00000 
1.59461 2.57916 0.00000 
1.60197 2.59118 0.00000 
1.60606 2.59784 0.00000 
1.60915 2.60321 0.00000 
1.61609 2.61523 0.00000 
1.62307 2.62725 0.00000 
1.63008 2.63928 0.00000 
1.63712 2.65130 0.00000 
1.64420 2.66333 0.00000 
1.65130 2.67535 0.00000 
1.65844 2.68737 0.00000 
1.66561 2.69940 0.00000 
1.66667 2.70116 0.00000 
1.67243 2.71142 0.00000 
1.67920 2.72345 0.00000 
1.68601 2.73547 0.00000 
1.69285 2.74749 0.00000 
1.69972 2.75952 0.00000 
1.70662 2.77154 0.00000 
1.71355 2.78357 0.00000 
1.72051 2.79559 0.00000 
1.72727 2.80723 0.00000 
1.72748 2.80762 0.00000 
1.73407 2.81964 0.00000 
1.74069 2.83166 0.00000 
1.74734 2.84369 0.00000 
1.75401 2.85571 0.00000 
1.76071 2.86774 0.00000 
1.76744 2.87976 0.00000 
1.77420 2.89178 0.00000 
1.78099 2.90381 0.00000 
1.78780 2.91583 0.00000 
1.78788 2.91596 0.00000 
1.79424 2.92786 0.00000 
1.80071 2.93988 0.00000 
1.80719 2.95190 0.00000 
1.81371 2.96393 0.00000 
1.82025 2.97595 0.00000 
1.82682 2.98798 0.00000 
1.83341 3.00000 0.00000 

